idIntencao;texto;ativo
1;Ficaria feliz se meu trabalho ajudasse as pessoas a se sentirem bem;s
2;Prefiro trabalhar em ambientes diferentes e variados;s
3;Faço amizade facilmente;s
4;Gosto de cozinhar receitas novas;s
5;Gostaria de trabalhar todo dia com pessoas diferentes;s
6;Desde criança gostava de ajudar minha família a cozinhar;s
7;Prefiro trabalhar com coisas bonitas, interessantes e leves;s
8;Gostaria de criar peças de vestuário e acessórios;s
9;Gosto de adaptar minhas roupas para dar um toque especial;s
